Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Australia,Consumer Confidence,1983-03-31T00:00:00,97.48,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1983-04-30T00:00:00,99.3,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1983-05-31T00:00:00,97.27,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1983-06-30T00:00:00,95.24,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1983-07-31T00:00:00,98.3,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1983-08-31T00:00:00,100.72,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1983-09-30T00:00:00,103.58,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1983-10-31T00:00:00,106.44,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1983-11-30T00:00:00,113.16,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1983-12-31T00:00:00,118.83,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1984-01-31T00:00:00,122.18,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1984-02-29T00:00:00,120.98,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1984-03-31T00:00:00,120.8,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1984-04-30T00:00:00,120.62,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1984-05-31T00:00:00,118.05,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1984-06-30T00:00:00,115.48,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1984-07-31T00:00:00,116.74,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1984-08-31T00:00:00,118.16,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1984-09-30T00:00:00,117.92,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1984-10-31T00:00:00,117.68,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1984-11-30T00:00:00,116.04,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1984-12-31T00:00:00,114.4,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1985-01-31T00:00:00,112.29,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1985-02-28T00:00:00,112.39,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1985-03-31T00:00:00,110.02,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1985-04-30T00:00:00,99.36,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1985-05-31T00:00:00,98.67,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1985-06-30T00:00:00,97.98,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1985-07-31T00:00:00,100.58,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1985-08-31T00:00:00,106.9,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1985-09-30T00:00:00,107.32,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1985-10-31T00:00:00,107.74,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1985-11-30T00:00:00,94.72,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1985-12-31T00:00:00,102.76,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1986-01-31T00:00:00,102.83,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1986-02-28T00:00:00,104.51,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1986-03-31T00:00:00,103.56,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1986-04-30T00:00:00,94.64,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1986-05-31T00:00:00,95.12,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1986-06-30T00:00:00,91.8,Monthly,WMCCCONPCT,2017-02-16T12:07:00
