Date,Symbols,Ticker,market_name,value,index_perc_change
2019-03-05,^GSPTSE,S&P/TSX Composite index,Canada,16086.5,0.0030178382603827103
2019-03-06,^GSPTSE,S&P/TSX Composite index,Canada,16092.099609375,0.0003480937043482957
2019-03-07,^GSPTSE,S&P/TSX Composite index,Canada,16056.5,-0.002212241425243233
2019-03-08,^GSPTSE,S&P/TSX Composite index,Canada,15996.2001953125,-0.0037554762673994713
2019-03-11,^GSPTSE,S&P/TSX Composite index,Canada,16106.2001953125,0.0068766331164218375
2019-03-12,^GSPTSE,S&P/TSX Composite index,Canada,16136.7001953125,0.0018936806714271448
2019-03-13,^GSPTSE,S&P/TSX Composite index,Canada,16150.0,0.0008241960578385665
2019-03-14,^GSPTSE,S&P/TSX Composite index,Canada,16087.599609375,-0.00386380127708974
2019-03-15,^GSPTSE,S&P/TSX Composite index,Canada,16140.400390625,0.003282079522866299
2019-03-18,^GSPTSE,S&P/TSX Composite index,Canada,16251.400390625,0.006877152816139098
2019-03-19,^GSPTSE,S&P/TSX Composite index,Canada,16188.099609375,-0.003895097021086036
2019-03-20,^GSPTSE,S&P/TSX Composite index,Canada,16167.599609375,-0.001266362358440687
2019-03-21,^GSPTSE,S&P/TSX Composite index,Canada,16244.599609375,0.004762611758108548
2019-03-22,^GSPTSE,S&P/TSX Composite index,Canada,16089.2998046875,-0.009560088178342974
2019-03-25,^GSPTSE,S&P/TSX Composite index,Canada,16065.900390625,-0.001454346326226208
2019-03-26,^GSPTSE,S&P/TSX Composite index,Canada,16155.2001953125,0.005558344226982204
2019-03-27,^GSPTSE,S&P/TSX Composite index,Canada,16132.5,-0.001405132405544962
2019-03-28,^GSPTSE,S&P/TSX Composite index,Canada,16155.5,0.0014256934759027118
2019-03-29,^GSPTSE,S&P/TSX Composite index,Canada,16102.099609375,-0.0033054000572559916
2019-04-01,^GSPTSE,S&P/TSX Composite index,Canada,16228.099609375,0.00782506648553083
2019-04-02,^GSPTSE,S&P/TSX Composite index,Canada,16263.900390625,0.0022060981945981606
2019-04-03,^GSPTSE,S&P/TSX Composite index,Canada,16279.900390625,0.0009837738559455023
2019-04-04,^GSPTSE,S&P/TSX Composite index,Canada,16311.599609375,0.0019471383724347646
