date,market,market_name,variable,value
2/23/2020,US-NY-501,NYC,lunch near me,56
2/23/2020,US-NY-501,NYC,meal kits,27
2/23/2020,US-NY-501,NYC,meal subscription,0
2/23/2020,US-NY-501,NYC,online cooking classes,0
2/23/2020,US-NY-501,NYC,outdoor dining,4
2/23/2020,US-NY-501,NYC,places to eat,83
2/23/2020,US-NY-501,NYC,reservations,72
2/23/2020,US-NY-501,NYC,restaurants,76
2/23/2020,US-NY-501,NYC,restaurants near me,81
2/23/2020,US-NY-501,NYC,restaurants nearby,29
2/23/2020,US-NY-501,NYC,romantic restaurant,33
2/23/2020,US-NY-501,NYC,safe restaurants,30
2/23/2020,US-NY-501,NYC,shop small,22
2/23/2020,US-NY-501,NYC,shop small american express,0
2/23/2020,US-NY-501,NYC,takeout,33
2/23/2020,US-NY-501,NYC,takeout Tuesday,0
2/23/2020,US-NY-501,NYC,takeout restaurants,16
2/23/2020,US-NY-501,NYC,ubereats,53
2/23/2020,US-NY-501,NYC,wine delivery,4
2/23/2020,US-NY-501,NYC,winery near me,10
3/1/2020,US-NY-501,NYC,american express shop small,0
3/1/2020,US-NY-501,NYC,amex dining,43
3/1/2020,US-NY-501,NYC,amex shop small,0
3/1/2020,US-NY-501,NYC,bars near me,76
3/1/2020,US-NY-501,NYC,best appliances,37
3/1/2020,US-NY-501,NYC,best cookware,12
3/1/2020,US-NY-501,NYC,best restaurants,74
3/1/2020,US-NY-501,NYC,blue apron,23
3/1/2020,US-NY-501,NYC,breakfast near me,79
3/1/2020,US-NY-501,NYC,brewery near me,47
3/1/2020,US-NY-501,NYC,casual dining,0
3/1/2020,US-NY-501,NYC,coffee shops near me,38
3/1/2020,US-NY-501,NYC,delis near me,53
3/1/2020,US-NY-501,NYC,dining,36
3/1/2020,US-NY-501,NYC,dinner near me,49
3/1/2020,US-NY-501,NYC,door dash,27
3/1/2020,US-NY-501,NYC,doordash,31
3/1/2020,US-NY-501,NYC,drizly,2
3/1/2020,US-NY-501,NYC,fine dining,64
3/1/2020,US-NY-501,NYC,food delivery,37
3/1/2020,US-NY-501,NYC,food near me,68
3/1/2020,US-NY-501,NYC,grubhub,60
3/1/2020,US-NY-501,NYC,hellofresh,53
3/1/2020,US-NY-501,NYC,instacart,9
3/1/2020,US-NY-501,NYC,local dining,0
3/1/2020,US-NY-501,NYC,lunch near me,90
3/1/2020,US-NY-501,NYC,meal kits,40
3/1/2020,US-NY-501,NYC,meal subscription,39
3/1/2020,US-NY-501,NYC,online cooking classes,0
3/1/2020,US-NY-501,NYC,outdoor dining,1
3/1/2020,US-NY-501,NYC,places to eat,69
