state,market_name,month,uempl_rate,uempl_mom,uempl_mom_%
MS,Mississippi,2020-06-01,0.08800000000000001,-0.016999999999999987,-0.16190476190476177
MS,Mississippi,2020-07-01,0.094,0.0059999999999999915,0.06818181818181812
MS,Mississippi,2020-08-01,0.078,-0.016,-0.17021276595744683
MS,Mississippi,2020-09-01,0.07200000000000001,-0.0059999999999999915,-0.07692307692307676
MS,Mississippi,2020-10-01,0.07400000000000001,0.0020000000000000018,0.0277777777777779
MS,Mississippi,2020-11-01,0.063,-0.01100000000000001,-0.1486486486486488
MS,Mississippi,2020-12-01,0.062,-0.0010000000000000009,-0.015873015873015928
MT,Montana,2020-01-01,0.035,,
MT,Montana,2020-02-01,0.035,0.0,0.0
MT,Montana,2020-03-01,0.036000000000000004,0.0010000000000000009,0.028571428571428692
MT,Montana,2020-04-01,0.11900000000000001,0.083,2.3055555555555554
MT,Montana,2020-05-01,0.09,-0.029000000000000012,-0.24369747899159677
MT,Montana,2020-06-01,0.07200000000000001,-0.017999999999999988,-0.19999999999999984
MT,Montana,2020-07-01,0.065,-0.007000000000000006,-0.09722222222222232
MT,Montana,2020-08-01,0.057999999999999996,-0.007000000000000006,-0.10769230769230775
MT,Montana,2020-09-01,0.054000000000000006,-0.00399999999999999,-0.06896551724137912
MT,Montana,2020-10-01,0.05,-0.0040000000000000036,-0.07407407407407418
MT,Montana,2020-11-01,0.046,-0.0040000000000000036,-0.08000000000000007
MT,Montana,2020-12-01,0.044000000000000004,-0.001999999999999995,-0.04347826086956508
NC,North Carolina,2020-01-01,0.036000000000000004,,
NC,North Carolina,2020-02-01,0.036000000000000004,0.0,0.0
NC,North Carolina,2020-03-01,0.043,0.006999999999999992,0.1944444444444442
NC,North Carolina,2020-04-01,0.129,0.08600000000000001,2.0000000000000004
NC,North Carolina,2020-05-01,0.128,-0.0010000000000000009,-0.007751937984496138
NC,North Carolina,2020-06-01,0.075,-0.053000000000000005,-0.4140625
NC,North Carolina,2020-07-01,0.085,0.010000000000000009,0.13333333333333353
NC,North Carolina,2020-08-01,0.065,-0.020000000000000004,-0.23529411764705888
NC,North Carolina,2020-09-01,0.07200000000000001,0.007000000000000006,0.10769230769230775
NC,North Carolina,2020-10-01,0.062,-0.010000000000000009,-0.13888888888888895
NC,North Carolina,2020-11-01,0.062,0.0,0.0
NC,North Carolina,2020-12-01,0.062,0.0,0.0
ND,North Dakota,2020-01-01,0.023,,
ND,North Dakota,2020-02-01,0.022000000000000002,-0.0009999999999999974,-0.04347826086956508
ND,North Dakota,2020-03-01,0.02,-0.0020000000000000018,-0.09090909090909094
ND,North Dakota,2020-04-01,0.091,0.071,3.55
ND,North Dakota,2020-05-01,0.091,0.0,0.0
